Date,Sales
2023-01-01,1189.74
2023-02-01,1274.28
2023-03-01,1402.88
2023-04-01,1458.25
2023-05-01,1233.4
2023-06-01,
2023-07-01,1129.53
2023-08-01,980.31
2023-09-01,866.7
2023-10-01,1013.38
2023-11-01,1068.25
2023-12-01,1243.59
2024-01-01,1475.74
2024-02-01,1438.66
2024-03-01,1519.45
2024-04-01,1597.8
2024-05-01,1477.48
2024-06-01,1459.18
2024-07-01,1236.93
2024-08-01,1112.31
2024-09-01,
2024-10-01,1258.3
2024-11-01,1417.1
2024-12-01,1473.25
2025-01-01,1719.22
2025-02-01,1906.98
2025-03-01,1871.75
2025-04-01,1979.23
2025-05-01,1816.84
2025-06-01,1717.09
2025-07-01,1567.82
2025-08-01,1679.86
2025-09-01,1515.94
2025-10-01,1498.13
2025-11-01,1783.89
2025-12-01,1795.95
2026-01-01,2085.86
2026-02-01,2047.71
2026-03-01,2163.96
2026-04-01,2271.3
2026-05-01,2230.35
2026-06-01,2060.52
2026-07-01,1913.09
2026-08-01,1813.98
2026-09-01,1705.12
2026-10-01,1831.54
2026-11-01,1987.62
2026-12-01,2284.57
2023-11-01,1068.25
